term,count,category,frequency_rank
AI sector,315,AI/Machine Learning,126
Document Analysis,313,Statistical Methods,127
deep neural network,307,AI/Machine Learning,128
Stress Testing,290,Other Methods,129
ML algorithm,268,AI/Machine Learning,130
Stakeholder Analysis,265,Statistical Methods,131
Textual Analysis,258,Statistical Methods,132
Structural equation modeling,256,Modeling/Simulation,133
transfer learning,246,Other Methods,134
Discourse analysis,242,Statistical Methods,135
generative adversarial network,236,Other Methods,136
backpropagation,235,Other Methods,137
AI bias,235,AI/Machine Learning,138
synthetic control method,223,Other Methods,139
speech recognition,223,Other Methods,140
text mining,218,Other Methods,141
topic modeling,212,Modeling/Simulation,142
DNN,200,Other Methods,143
convolutional neural network,194,AI/Machine Learning,144
RLHF,178,AI/Machine Learning,145
Realist evaluation,172,Evaluation Methods,146
Utility Analysis,168,Statistical Methods,147
Center for Gaming,159,Other Methods,148
Counterfactual analysis,158,Statistical Methods,149
latent space,158,Other Methods,150
image recognition,151,Other Methods,151
generative pre-trained transformer,147,AI/Machine Learning,152
RNN,135,AI/Machine Learning,153
machine learning algorithm,123,AI/Machine Learning,154
Center for Causal Inference,119,Other Methods,155
emergent behavior,115,Other Methods,156
prompt engineering,112,Other Methods,157
AI alignment,110,AI/Machine Learning,158
Panel Data Analysis,107,Statistical Methods,159
Bayesian Analysis,106,Statistical Methods,160
AI market,105,AI/Machine Learning,161
Text-as-data,102,Other Methods,162
Evidence mapping,96,Other Methods,163
transformer model,96,AI/Machine Learning,164
Hierarchical Modeling,95,Modeling/Simulation,165
data augmentation,91,Other Methods,166
Discrete Event Simulation,88,Modeling/Simulation,167
recurrent neural network,87,AI/Machine Learning,168
AI investment,85,AI/Machine Learning,169
Meselson Center,84,Other Methods,170
stochastic gradient descent,81,Other Methods,171
AI company,80,AI/Machine Learning,172
Event History Analysis,78,Statistical Methods,173
Center for Scalable Computing and Analysis,78,Statistical Methods,174
AI algorithm,77,AI/Machine Learning,175
attention mechanism,75,Other Methods,176
Discriminant Analysis,74,Statistical Methods,177
Center for Applied Network Analysis,73,Statistical Methods,178
Center for Qualitative and Mixed Methods,73,Other Methods,179
Institutional analysis,72,Statistical Methods,180
chain-of-thought,68,AI/Machine Learning,181
RAND Frederick S. Pardee Center for Longer Range Global Policy and the Future Human Condition,64,Other Methods,182
anomaly detection,59,Other Methods,183
Multi-Criteria Decision Analysis,59,Statistical Methods,184
image classification,58,Other Methods,185
NLG,58,Other Methods,186
natural language generation,54,Other Methods,187
feature extraction,47,Other Methods,188
multimodality,46,Other Methods,189
Serious Gaming,44,Other Methods,190
Decision Tree Analysis,43,Statistical Methods,191
neural network model,40,AI/Machine Learning,192
Edge AI,39,AI/Machine Learning,193
AI implementation,36,AI/Machine Learning,194
China Research Center,31,Other Methods,195
AI solution,30,AI/Machine Learning,196
counterfactual reasoning,30,Other Methods,197
AI deployment,29,AI/Machine Learning,198
Punctuated equilibrium theory,27,Other Methods,199
Critical path method,25,Other Methods,200
multimodal model,24,Other Methods,201
AI startup,24,AI/Machine Learning,202
feature engineering,24,Other Methods,203
automated coding,21,Other Methods,204
AI assist,20,AI/Machine Learning,205
recommendation system,20,Other Methods,206
Citizen science methods,18,Other Methods,207
AI fairness,18,AI/Machine Learning,208
zero-shot learning,18,Other Methods,209
RAND Forecasting Initiative,18,Modeling/Simulation,210
discriminative model,17,Other Methods,211
reasoning capability,17,Other Methods,212
counterfactual analysis,15,Statistical Methods,213
multimodal AI,14,AI/Machine Learning,214
Computational text analysis,13,Statistical Methods,215
TASP Center,10,Other Methods,216
RCANA,9,Other Methods,217
model chaining,9,AI/Machine Learning,218
automated annotation,9,Other Methods,219
knowledge graph,8,Other Methods,220
semantic search,8,Other Methods,221
few-shot learning,8,Other Methods,222
Advocacy coalition framework,8,Other Methods,223
AI integration,7,AI/Machine Learning,224
AI analytics,6,AI/Machine Learning,225
AI decision support,6,AI/Machine Learning,226
vector embedding,5,AI/Machine Learning,227
IV method,4,Other Methods,228
Framing analysis,4,Statistical Methods,229
Historical institutionalism,2,Other Methods,230
Policy triangle framework,1,Other Methods,231
